trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
415,False,"{'a': 0.1, 'e': 0.03615283175404641}",25,8,9.769198461159615,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
416,False,"{'a': 0.1, 'e': 0.035864762911748754}",30,22,16.040960318654143,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
417,False,"{'a': 0.1, 'e': 0.035578989426519325}",20,13,17.01936591484845,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,False,"{'a': 0.1, 'e': 0.0352954930087575}",25,12,25.31681960461938,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
419,False,"{'a': 0.1, 'e': 0.03501425551459579}",20,11,13.801602752551926,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
420,False,"{'a': 0.1, 'e': 0.03473525894473857}",20,11,15.005775876984693,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
421,False,"{'a': 0.1, 'e': 0.03445848544331014}",20,14,9.765985202798909,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
422,False,"{'a': 0.1, 'e': 0.03418391729671194}",30,1,23.39303449343988,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 0}",1
423,False,"{'a': 0.1, 'e': 0.03391153693248886}",20,12,15.44219507480322,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,False,"{'a': 0.1, 'e': 0.03364132691820463}",20,11,17.4687367574333,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,False,"{'a': 0.1, 'e': 0.03337326996032609}",25,20,10.067857787582009,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
426,False,"{'a': 0.1, 'e': 0.033107348903116444}",35,17,12.495402482541254,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
427,False,"{'a': 0.1, 'e': 0.03284354672753727}",20,12,16.369903784511106,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
428,False,"{'a': 0.1, 'e': 0.03258184655015927}",25,14,21.746206724419608,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
